Info: Vdir: 0.000000:0.000000:0.000000, fa:0, fa2:0.000000:0.000000:0.000000
Info: Vdir: 0.984031:-0.125863:-0.125863, fa:9.571517, fa2:9.418670:-1.204701:-1.204701
Info: Vdir: 0.983885:-0.126434:-0.126434, fa:9.583063, fa2:9.428630:-1.211622:-1.211622
Info: Vdir: 0.983739:-0.127000:-0.127000, fa:9.594391, fa2:9.438375:-1.218490:-1.218490
Info: Vdir: 0.983593:-0.127563:-0.127563, fa:9.605505, fa2:9.447909:-1.225307:-1.225307
Info: Vdir: 0.983448:-0.128122:-0.128122, fa:9.61641, fa2:9.457239:-1.232072:-1.232072
Info: Vdir: 0.983303:-0.128677:-0.128677, fa:9.6271105, fa2:9.466366:-1.238785:-1.238785
Info: Vdir: 0.983158:-0.129228:-0.129228, fa:9.637607, fa2:9.475294:-1.245447:-1.245447
Info: Vdir: 0.983014:-0.129775:-0.129775, fa:9.647906, fa2:9.484029:-1.252058:-1.252058
Info: Vdir: 0.982870:-0.130319:-0.130319, fa:9.658011, fa2:9.492574:-1.258618:-1.258618
Info: Vdir: 0.982727:-0.130858:-0.130858, fa:9.667926, fa2:9.500933:-1.265126:-1.265126
Info: Vdir: 0.982584:-0.131394:-0.131394, fa:9.677652, fa2:9.509107:-1.271584:-1.271584
Info: Vdir: 0.982442:-0.131926:-0.131926, fa:9.687196, fa2:9.517103:-1.277991:-1.277991
Info: Vdir: 0.982299:-0.132454:-0.132454, fa:9.696558, fa2:9.524923:-1.284347:-1.284347
Info: Vdir: 0.982158:-0.132978:-0.132978, fa:9.705745, fa2:9.532572:-1.290652:-1.290652
Info: Vdir: 0.982016:-0.133499:-0.133499, fa:9.714757, fa2:9.540051:-1.296907:-1.296907
Info: Vdir: 0.981876:-0.134015:-0.134015, fa:9.7235985, fa2:9.547365:-1.303113:-1.303113
Info: Vdir: 0.981735:-0.134528:-0.134528, fa:9.732272, fa2:9.554516:-1.309267:-1.309267
Info: Vdir: 0.981596:-0.135038:-0.135038, fa:9.740784, fa2:9.561509:-1.315373:-1.315373
Info: Vdir: 0.981456:-0.135543:-0.135543, fa:9.749134, fa2:9.568348:-1.321429:-1.321429
Info: Vdir: 0.981317:-0.136045:-0.136045, fa:9.757326, fa2:9.575034:-1.327435:-1.327435
Info: Vdir: 0.981179:-0.136543:-0.136543, fa:9.765364, fa2:9.581570:-1.333392:-1.333392
Info: Vdir: 0.981041:-0.137037:-0.137037, fa:9.77325, fa2:9.587960:-1.339300:-1.339300
Info: Vdir: 0.980904:-0.137528:-0.137528, fa:9.780986, fa2:9.594206:-1.345159:-1.345159
Info: Vdir: 0.980767:-0.138015:-0.138015, fa:9.788576, fa2:9.600312:-1.350969:-1.350969
Info: Vdir: 0.980631:-0.138498:-0.138498, fa:9.796022, fa2:9.606280:-1.356732:-1.356732
Info: Vdir: 0.980495:-0.138978:-0.138978, fa:9.8033285, fa2:9.612115:-1.362446:-1.362446
Info: Vdir: 0.980360:-0.139454:-0.139454, fa:9.810498, fa2:9.617818:-1.368112:-1.368112
Info: Vdir: 0.980225:-0.139926:-0.139926, fa:9.817532, fa2:9.623391:-1.373731:-1.373731
Info: Vdir: 0.980091:-0.140395:-0.140395, fa:9.824431, fa2:9.628838:-1.379302:-1.379302
Info: Vdir: 0.979958:-0.140860:-0.140860, fa:9.831202, fa2:9.634161:-1.384826:-1.384826
Info: Vdir: 0.979825:-0.141322:-0.141322, fa:9.837844, fa2:9.639362:-1.390303:-1.390303
Info: Vdir: 0.979692:-0.141780:-0.141780, fa:9.84436, fa2:9.644444:-1.395734:-1.395734
Info: Vdir: 0.979561:-0.142235:-0.142235, fa:9.850755, fa2:9.649411:-1.401118:-1.401118
Info: Vdir: 0.979429:-0.142686:-0.142686, fa:9.857028, fa2:9.654263:-1.406455:-1.406455
Info: Vdir: 0.979299:-0.143133:-0.143133, fa:9.863183, fa2:9.659003:-1.411747:-1.411747
Info: Vdir: 0.979169:-0.143577:-0.143577, fa:9.869222, fa2:9.663633:-1.416994:-1.416994
Info: Vdir: 0.979039:-0.144018:-0.144018, fa:9.875147, fa2:9.668158:-1.422195:-1.422195
Info: Vdir: 0.978911:-0.144455:-0.144455, fa:9.88096, fa2:9.672577:-1.427351:-1.427351
Info: Vdir: 0.978782:-0.144888:-0.144888, fa:9.886664, fa2:9.676893:-1.432461:-1.432461
Info: Vdir: 0.978655:-0.145318:-0.145318, fa:9.892261, fa2:9.681108:-1.437528:-1.437528
Info: Vdir: 0.978528:-0.145745:-0.145745, fa:9.897751, fa2:9.685225:-1.442550:-1.442550
Info: Vdir: 0.978402:-0.146169:-0.146169, fa:9.903138, fa2:9.689245:-1.447528:-1.447528
Info: Vdir: 0.978276:-0.146589:-0.146589, fa:9.908423, fa2:9.693172:-1.452462:-1.452462
Info: Vdir: 0.978151:-0.147005:-0.147005, fa:9.91361, fa2:9.697006:-1.457353:-1.457353
Info: Vdir: 0.978026:-0.147419:-0.147419, fa:9.9187, fa2:9.700750:-1.462201:-1.462201
Info: Vdir: 0.977903:-0.147829:-0.147829, fa:9.923695, fa2:9.704408:-1.467005:-1.467005
Info: Vdir: 0.977780:-0.148235:-0.148235, fa:9.928595, fa2:9.707976:-1.471767:-1.471767
Info: Vdir: 0.977657:-0.148639:-0.148639, fa:9.933403, fa2:9.711461:-1.476487:-1.476487
Info: Vdir: 0.977535:-0.149039:-0.149039, fa:9.93812, fa2:9.714862:-1.481165:-1.481165
Info: Vdir: 0.977414:-0.149436:-0.149436, fa:9.942749, fa2:9.718183:-1.485801:-1.485801
Info: Vdir: 0.977293:-0.149829:-0.149829, fa:9.94729, fa2:9.721422:-1.490395:-1.490395
