Info: 0.00:32.29, v=22.05, t=65.20
Info: 0.00:27.88, v=22.05, t=65.40
Info: 0.00:23.47, v=22.05, t=65.60
Info: 0.00:19.06, v=22.05, t=65.80
Info: 0.00:14.65, v=22.05, t=66.00
Info: 0.00:10.24, v=22.05, t=66.20
Info: 0.00:5.83, v=22.05, t=66.40
Info: 0.00:1.42, v=22.05, t=66.60
Info: Aplicando série de impulsos...
Info: 0.00:22.00, v=102.90, t=66.80
Info: 0.00:54.61, v=163.08, t=67.00
Info: 0.00:86.35, v=158.68, t=67.20
Info: 0.00:118.35, v=159.99, t=67.40
Info: 0.00:150.27, v=159.62, t=67.60
Info: 0.00:182.22, v=159.73, t=67.80
Info: 0.00:214.16, v=159.70, t=68.00
Info: 0.00:246.10, v=159.71, t=68.20
Info: 0.00:278.04, v=159.70, t=68.40
Info: 0.00:309.98, v=159.70, t=68.60
Info: Interrompendo impulsos...
Info: 0.00:341.92, v=159.70, t=68.80
Info: 0.00:352.89, v=54.85, t=69.00
Info: 0.00:361.04, v=40.75, t=69.20
Info: 0.00:367.46, v=32.09, t=69.40
Info: 0.00:372.65, v=25.97, t=69.60
Info: 0.00:376.91, v=21.29, t=69.80
Info: 0.00:380.41, v=17.50, t=70.00
Info: 0.00:383.27, v=14.30, t=70.20
Info: 0.00:385.57, v=11.51, t=70.40
Info: 0.00:387.38, v=9.02, t=70.60
Info: 0.00:388.72, v=6.73, t=70.80
Info: 0.00:389.64, v=4.58, t=71.00
Info: 0.00:390.15, v=2.54, t=71.20
Info: 0.00:390.26, v=0.55, t=71.40
Info: 0.00:389.97, v=1.42, t=71.60
Info: 0.00:389.30, v=3.37, t=71.80
Info: 0.00:388.24, v=5.29, t=72.00
Info: 0.00:386.82, v=7.13, t=72.20
Info: 0.00:385.04, v=8.89, t=72.40
Info: 0.00:382.93, v=10.53, t=72.60
Info: 0.00:380.52, v=12.05, t=72.80
Info: 0.00:377.84, v=13.43, t=73.00
Info: 0.00:374.90, v=14.66, t=73.20
Info: 0.00:371.75, v=15.75, t=73.40
Info: 0.00:368.41, v=16.72, t=73.60
Info: 0.00:364.90, v=17.55, t=73.80
Info: 0.00:361.25, v=18.27, t=74.00
Info: 0.00:357.47, v=18.89, t=74.20
Info: 0.00:353.59, v=19.41, t=74.40
Info: 0.00:349.62, v=19.85, t=74.60
Info: 0.00:345.57, v=20.22, t=74.80
Info: 0.00:341.47, v=20.54, t=75.00
Info: 0.00:337.31, v=20.80, t=75.20
Info: 0.00:333.10, v=21.01, t=75.40
Info: 0.00:328.86, v=21.19, t=75.60
Info: 0.00:324.60, v=21.34, t=75.80
Info: 0.00:320.30, v=21.47, t=76.00
Info: 0.00:315.99, v=21.57, t=76.20
Info: 0.00:311.66, v=21.66, t=76.40
Info: 0.00:307.31, v=21.73, t=76.60
Info: 0.00:302.96, v=21.78, t=76.80
Info: 0.00:298.59, v=21.83, t=77.00
Info: 0.00:294.22, v=21.87, t=77.20
Info: 0.00:289.83, v=21.90, t=77.40
Info: 0.00:285.45, v=21.93, t=77.60
Info: 0.00:281.06, v=21.95, t=77.80
Info: 0.00:276.66, v=21.97, t=78.00
Info: 0.00:272.27, v=21.98, t=78.20
Info: 0.00:267.87, v=22.00, t=78.40
Info: 0.00:263.47, v=22.01, t=78.60
Info: 0.00:259.06, v=22.01, t=78.80
Info: 0.00:254.66, v=22.02, t=79.00
Info: 0.00:250.25, v=22.03, t=79.20
Info: 0.00:245.85, v=22.03, t=79.40
Info: 0.00:241.44, v=22.04, t=79.60
Info: 0.00:237.03, v=22.04, t=79.80
Info: 0.00:232.63, v=22.04, t=80.00
Info: 0.00:228.22, v=22.04, t=80.20
Info: 0.00:223.81, v=22.04, t=80.40
Info: 0.00:219.40, v=22.05, t=80.60
Info: 0.00:214.99, v=22.05, t=80.80
Info: 0.00:210.58, v=22.05, t=81.00
Info: 0.00:206.17, v=22.05, t=81.20
Info: 0.00:201.76, v=22.05, t=81.40
Info: 0.00:197.35, v=22.05, t=81.60
Info: 0.00:192.94, v=22.05, t=81.80
Info: 0.00:188.53, v=22.05, t=82.00
Info: 0.00:184.12, v=22.05, t=82.20
Info: 0.00:179.71, v=22.05, t=82.40
Info: 0.00:175.30, v=22.05, t=82.60
Info: 0.00:170.89, v=22.05, t=82.80
Info: 0.00:166.48, v=22.05, t=83.00
Info: 0.00:162.07, v=22.05, t=83.20
Info: 0.00:157.66, v=22.05, t=83.40
Info: 0.00:153.25, v=22.05, t=83.60
Info: 0.00:148.83, v=22.05, t=83.80
Info: 0.00:144.42, v=22.05, t=84.00
Info: 0.00:140.01, v=22.05, t=84.20
Info: 0.00:135.60, v=22.05, t=84.40
Info: 0.00:131.19, v=22.05, t=84.60
Info: 0.00:126.78, v=22.05, t=84.80
Info: 0.00:122.37, v=22.05, t=85.00
Info: 0.00:117.96, v=22.05, t=85.20
Info: 0.00:113.55, v=22.05, t=85.40
Info: 0.00:109.14, v=22.05, t=85.60
Info: 0.00:104.73, v=22.05, t=85.80
Info: 0.00:100.32, v=22.05, t=86.00
Info: 0.00:95.91, v=22.05, t=86.20
